tweetID,final_label1,hate_auto_label1,expliciteHateType1,hatecategory1,highlighted_terms1,highlighted_terms_label1,ImplicithateType1,Implicitcategory1,Implicittaret1,rationale1,final_label2,hate_auto_label2,expliciteHateType2,hatecategory2,highlighted_terms2,highlighted_terms_label2,ImplicithateType2,Implicitcategory2,Implicittaret2,rationale2,final_label3,hate_auto_label3,expliciteHateType3,hatecategory3,highlighted_terms3,highlighted_terms_label3,ImplicithateType3,Implicitcategory3,Implicittaret3,rationale3,majority_label,majority_label_auto,auto_manual_agrees
996069345334788096,0,0,NONE,NONE,,,NONE,NONE,none,,0,0,DEROGATORY LANGUAGE,NONE,Big White Milf Ass Has Big PLUSHCAMcom Lovense Dildo In Ass To Tease    i fucking my si…;,DEROGATORY LANGUAGE;,DEROGATORY LANGUAGE,NONE,NONE,derogatory language targeted at no individuals or groups. Tweet seems like a porn search or porn profile tweet ,0,1,DEROGATORY LANGUAGE,GROUP:BODY,Ass;Ass;ucking;,GROUP:BODY;GROUP:BODY;DEROGATORY LANGUAGE;,DEROGATORY LANGUAGE,GROUP:BODY,women,,0,0,True
1013142725351428098,0,0,NONE,NONE,,,NONE,NONE,NONE,"no hate, no group targeted",0,0,NONE,NONE,,,NONE,NONE,none,No derogatory language nor slurs were used towards anyone or any group.,0,0,NONE,NONE,,,NONE,NONE,none,,0,0,True
1035588262188998656,0,0,NONE,NONE,,,NONE,NONE,none,,0,0,NONE,NONE,,,NONE,NONE,NONE,This tweet does not configure hate speech.,0,0,NONE,NONE,,,NONE,NONE,none,no hate,0,0,True
894760202045595649,0,0,NONE,NONE,,,NONE,NONE,none,this content doesn't have any hateful content. thank you,0,0,NONE,NONE,,,NONE,NONE,NONE,This tweet does not configure hate speech.,0,0,NONE,NONE,,,NONE,NONE,NONE,NOT HATEFUL,0,0,True
894765658805686276,0,0,NONE,NONE,,,NONE,NONE,NONE,,0,0,DEROGATORY LANGUAGE,NONE,shit;,DEROGATORY LANGUAGE;,NONE,NONE,none,,0,0,NONE,NONE,,,NONE,NONE,NONE,"Normal tweet, nothing explicit or implicit hateful.",0,0,True
968387253541261317,0,0,NONE,NONE,,,NONE,NONE,none,,0,0,DEROGATORY LANGUAGE,NONE,fuck;,DEROGATORY LANGUAGE;,NONE,NONE,none,,0,0,NONE,NONE,,,NONE,NONE,None,"Nothing hateful in the tweet, Just swear words",0,0,True
874813568591462401,0,0,NONE,NONE,,,NONE,NONE,none,no hate,0,0,NONE,NONE,,,NONE,NONE,no individual or group is targeted,,0,0,NONE,NONE,,,NONE,NONE,none,,0,0,True
960959623493767168,0,0,NONE,NONE,,,NONE,NONE,None,Nothing hateful in the tweet,0,0,NONE,NONE,,,NONE,NONE,NONE,The tweet is just a playful joke. There is nothing derogatory or hateful in it.,0,0,NONE,NONE,,,NONE,NONE,NONE,,0,0,True
979763766249345026,0,0,NONE,NONE,,,NONE,NONE,NONE,,0,0,NONE,NONE,,,NONE,NONE,none,this twee doesn't have any hateful content. thank you,0,0,NONE,NONE,,,NONE,NONE,NONE,"Normal tweet, nothing explicit or implicit hateful. +18 tweet",0,0,True
968356341520662529,1,1,INCITE VIOLENCE,TARGETED INDIVIDUAL,her;shampoo and pour nair in it;,TARGETED INDIVIDUAL;INCITE VIOLENCE;,INCITE VIOLENCE,GROUP:OTHER,woman,violence towards a woman,1,0,NONE,TARGETED INDIVIDUAL,,,INCITE VIOLENCE,NONE,a woman,,0,0,NONE,NONE,,,NONE,NONE,NONE,,1,0,False
874783231194746880,1,1,DEROGATORY LANGUAGE,GROUP:OTHER,fucking passive aggressive;,DEROGATORY LANGUAGE;,DEROGATORY LANGUAGE,GROUP:OTHER,no particular person,opinion but derogatory,1,1,DEROGATORY LANGUAGE,TARGETED INDIVIDUAL,Your;fucking;,TARGETED INDIVIDUAL;DEROGATORY LANGUAGE;,DEROGATORY LANGUAGE,GROUP:OTHER,author,Attacking writer or reader,1,1,DEROGATORY LANGUAGE,TARGETED INDIVIDUAL,fucking;,DEROGATORY LANGUAGE;,DEROGATORY LANGUAGE,NONE,the person this tweet is referring to,,1,1,True
963862748726808577,0,0,NONE,NONE,,,NONE,NONE,none,No derogatory language nor slurs were used towards anyone or any group.,0,0,NONE,NONE,,,NONE,NONE,none,,0,0,NONE,NONE,,,NONE,NONE,none,,0,0,True
981201900803674112,0,0,NONE,NONE,,,NONE,NONE,NONE,,0,0,NONE,NONE,,,NONE,NONE,none,,0,0,NONE,NONE,,,NONE,NONE,NONE,"not hateful, no group targeted",0,0,True
1013116276070285312,0,0,NONE,NONE,,,NONE,NONE,none,,0,0,NONE,NONE,,,NONE,NONE,NONE,The tweet doesn't denigrate nor incites to violence towards anyone.,0,0,NONE,NONE,,,NONE,NONE,NONE,,0,0,True
894765923059380224,0,0,NONE,NONE,,,NONE,NONE,none,,1,1,DEROGATORY LANGUAGE,TARGETED INDIVIDUAL,snookie;blind ;,TARGETED INDIVIDUAL;DEROGATORY LANGUAGE;,NONE,NONE,NONE,denigrate the TV presenter called Snooki by saying that she is going blind,0,0,NONE,NONE,,,NONE,NONE,NONE,"Normal tweet, nothing explicit or implicit hateful",0,0,True
981215351961739266,0,0,NONE,NONE,,,NONE,NONE,None,"Normal tweet, nothing hateful",0,0,NONE,NONE,,,NONE,NONE,none,,0,0,NONE,NONE,,,NONE,NONE,none,,0,0,True
999864452282372096,1,1,DEROGATORY LANGUAGE,TARGETED INDIVIDUAL,bitch;,DEROGATORY LANGUAGE;,DEROGATORY LANGUAGE,GROUP:GENDER,individual,,0,0,NONE,NONE,,,NONE,NONE,NONE,"Normal tweet, nothing explicit or implicit hateful. Has swear words.",0,0,NONE,NONE,,,NONE,NONE,NONE,no hate. no targeted group,0,0,True
965672582514184193,1,1,NONE,GROUP:BODY,pussy;,GROUP:BODY;,DEROGATORY LANGUAGE,GROUP:BODY,women,,0,0,NONE,NONE,,,NONE,NONE,none,,0,0,NONE,NONE,,,NONE,NONE,NONE,This is just sex words.,0,0,True
1012412606068518913,0,0,NONE,NONE,,,NONE,NONE,None,Nothing hateful in the tweet,0,0,NONE,GROUP:OTHER,One Direction;,TARGETED INDIVIDUAL;,NONE,NONE,NONE,"In this tweet, no phrase inciting violence nor derogatory has been found. The tweet rather praises the group ""One Direction"". Therefore, it is not hateful.",0,0,NONE,NONE,,,NONE,NONE,NONE,,0,0,True
968357826291781632,0,0,NONE,NONE,,,NONE,NONE,none,,0,0,NONE,NONE,,,NONE,NONE,NONE,The tweet just expresses personal experience without anything derogatory or violent content.,0,0,NONE,NONE,,,NONE,NONE,NONE,There is nothing in this that can be regarded as hateful. Nothing.,0,0,True
894717894067703808,0,0,NONE,NONE,,,NONE,NONE,NONE,,0,0,DEROGATORY LANGUAGE,NONE,ass;,DEROGATORY LANGUAGE;,NONE,NONE,NONE,,0,0,NONE,NONE,,,NONE,NONE,none,bordering derogatory,0,0,True
901421239125893120,0,0,NONE,NONE,,,NONE,NONE,NONE,,0,0,NONE,NONE,,,NONE,NONE,none,,0,0,NONE,TARGETED INDIVIDUAL,harry;,TARGETED INDIVIDUAL;,NONE,NONE,none,,0,0,True
1013111519708700673,0,0,DEROGATORY LANGUAGE,NONE,fat ass;,DEROGATORY LANGUAGE;,NONE,NONE,NONE,,1,1,NONE,GROUP:BODY,fat ass;,GROUP:BODY;,DEROGATORY LANGUAGE,GROUP:BODY,fat,this tweet is hateful as it is in derogatory language,0,0,NONE,NONE,,,NONE,NONE,none,,0,0,True
987410330589564929,0,0,NONE,NONE,,,NONE,NONE,None,"Nothing hateful in the tweet, normal comment",0,0,NONE,NONE,,,NONE,NONE,NONE,This tweet does not configure hate speech. There are no implicit/explicit targets and no display of incitation of violence or derogatory language.,0,0,NONE,NONE,,,NONE,NONE,none,no hate,0,0,True
956536964815163392,0,0,NONE,NONE,,,NONE,NONE,NONE,"Normal tweet, nothing explicit or implicit hateful",0,0,NONE,NONE,,,NONE,NONE,none,no hate,0,0,NONE,NONE,,,NONE,NONE,none,,0,0,True
984148852381855744,0,0,NONE,NONE,,,NONE,NONE,NONE,"normal tweet, nothing explicit or implicit hateful. Tweet seems about kpop",0,0,NONE,NONE,,,NONE,NONE,NONE,the tweet has no hate speech,0,0,NONE,NONE,,,NONE,NONE,none,no hate,0,0,True
979405744645836800,0,0,NONE,NONE,,,NONE,NONE,none,No derogatory language nor slurs were used towards anyone or any group.,0,0,NONE,NONE,,,NONE,NONE,none,,0,0,NONE,NONE,,,NONE,NONE,NONE,,0,0,True
1013102904645963776,0,0,NONE,NONE,,,NONE,NONE,none,,0,0,NONE,NONE,,,NONE,NONE,none,no hate,0,0,NONE,NONE,,,NONE,NONE,NONE,"Normal tweet, nothing explicit or implicit hateful",0,0,True
963843077466132480,0,0,NONE,NONE,,,NONE,NONE,NONE,This tweet does not configure hate speech.,0,0,NONE,NONE,,,NONE,NONE,NONE,,0,0,NONE,NONE,,,NONE,NONE,None,No hate speech,0,0,True
984138941237522453,0,0,NONE,NONE,,,NONE,NONE,none,,0,0,NONE,NONE,,,NONE,NONE,NONE,"normal tweet, nothing hateful",0,0,NONE,NONE,,,NONE,NONE,NONE,,0,0,True
994653495121735680,0,0,NONE,NONE,,,NONE,NONE,NONE,"nothing hateful, normal tweet",0,0,NONE,NONE,,,NONE,NONE,none,nothing hateful,0,0,NONE,NONE,,,NONE,NONE,none,,0,0,True
963852036490932229,1,1,DEROGATORY LANGUAGE,GROUP:GENDER,pussy print &amp;;e a w;,DEROGATORY LANGUAGE;GROUP:GENDER;,NONE,NONE,NONE,the tweet contains aggressive language against women,1,1,DEROGATORY LANGUAGE,TARGETED INDIVIDUAL,"pussy;mp; ass t;se,;",DEROGATORY LANGUAGE;DEROGATORY LANGUAGE;TARGETED INDIVIDUAL;,DEROGATORY LANGUAGE,GROUP:GENDER, individual ,,1,1,DEROGATORY LANGUAGE,TARGETED INDIVIDUAL,A pussy print &amp; ass tease for the l;,DEROGATORY LANGUAGE;,DEROGATORY LANGUAGE,GROUP:GENDER,Individual,this tweet is hateful as it is in derogatory language,1,1,True
975814392842543105,0,0,NONE,NONE,,,NONE,NONE,none,,1,1,DEROGATORY LANGUAGE,TARGETED INDIVIDUAL,nag and bitch;,DEROGATORY LANGUAGE;,DEROGATORY LANGUAGE,GROUP:GENDER,Individual,This tweet is hateful,1,0,NONE,GROUP:GENDER,bitch;,GROUP:GENDER;,NONE,NONE,none,The user used a slur that is degrading to all women.,1,0,False
916745611155771392,1,1,DEROGATORY LANGUAGE,GROUP:OTHER,sexy blonde uncircumcised porn deep pussy dirty talk porn passionate sex;,DEROGATORY LANGUAGE;,DEROGATORY LANGUAGE,GROUP:OTHER,other,this tweet is hateful as it is in derogatory language,0,0,NONE,NONE,,,NONE,NONE,NONE,"no hate, no targeted group",0,0,NONE,NONE,,,NONE,NONE,NONE,,0,0,True
999376608560529409,0,0,NONE,NONE,,,NONE,NONE,NONE,"Normal tweet, nothing explicit or implicit hateful",0,0,NONE,NONE,,,NONE,NONE,NONE,No hateful language in tweet.,0,0,NONE,NONE,,,NONE,NONE,none,,0,0,True
903241093113929729,1,1,DEROGATORY LANGUAGE,TARGETED INDIVIDUAL,Tight blonde mom;puts her round ass in the air to finger her juicy cunt;,TARGETED INDIVIDUAL;DEROGATORY LANGUAGE;,DEROGATORY LANGUAGE,GROUP:GENDER,blond mom,derogatory against women,1,1,DEROGATORY LANGUAGE,TARGETED INDIVIDUAL,round ass; juicy cun;#milf #sexy;,DEROGATORY LANGUAGE;DEROGATORY LANGUAGE;DEROGATORY LANGUAGE;,DEROGATORY LANGUAGE,GROUP:GENDER,Women,This tweet is hateful against women as it contains DEROGATORY LANGUAGE,0,1,NONE,GROUP:BODY,ass;cunt;,GROUP:BODY;GROUP:BODY;,DEROGATORY LANGUAGE,GROUP:BODY,women,,1,1,True
865349784340529152,0,0,NONE,NONE,,,NONE,NONE,none,no hate,0,0,DEROGATORY LANGUAGE,NONE,"i fluctuate between having my shit together and being back on my bullshit like several times a day, its intense;",DEROGATORY LANGUAGE;,DEROGATORY LANGUAGE,NONE,none,,0,0,NONE,NONE,,,NONE,NONE,NONE,,0,0,True
980893208434618368,0,0,NONE,NONE,,,NONE,NONE,NONE,"This is just a conversation, nothing derogatory.",0,0,NONE,NONE,,,NONE,NONE,NONE,"Normal tweet, nothing explicit or implicit hateful",0,0,NONE,NONE,,,NONE,NONE,NONE,"no hate, no group targeted",0,0,True
996069739611893762,0,0,NONE,NONE,,,NONE,NONE,NONE,,0,0,NONE,NONE,,,NONE,NONE,NONE,"nothing hateful, normal tweet",0,0,NONE,NONE,,,NONE,NONE,none,,0,0,True
870674247743676417,0,0,NONE,NONE,,,NONE,NONE,NONE,,0,0,NONE,NONE,,,NONE,NONE,none,,0,0,NONE,NONE,,,NONE,NONE,None,Nothing hateful in the tweet,0,0,True
882756858947280898,0,0,NONE,NONE,,,NONE,NONE,none,,0,0,NONE,NONE,,,NONE,NONE,none,no hate,0,0,NONE,NONE,,,NONE,NONE,none,No derogatory language nor slurs were used towards anyone or any group.,0,0,True
981224868845846528,1,1,INCITE VIOLENCE,TARGETED INDIVIDUAL,"You better bring than same intensity to MES, homie, because I'm going to be in your face the whole game my man. Jus…;",INCITE VIOLENCE;,INCITE VIOLENCE,NONE,individual,,0,0,NONE,NONE,,,NONE,NONE,NONE,"no hate, no group targeted",0,0,NONE,NONE,,,NONE,NONE,none,,0,0,True
865328447912062976,0,0,NONE,NONE,,,NONE,NONE,none,"Despite the profanity, No derogatory language nor slurs were used towards anyone or any group.
The user is advertising a pornographic product.",0,0,NONE,NONE,,,NONE,NONE,none,this tweet doesn't have any hateful content. thank you,0,0,NONE,TARGETED INDIVIDUAL,myself ;,TARGETED INDIVIDUAL;,NONE,NONE,myself,,0,0,True
980873700718256128,0,0,NONE,TARGETED INDIVIDUAL,,,NONE,NONE,NONE,,0,0,NONE,NONE,,,NONE,NONE,NONE,"Normal tweet, nothing explicit or implicit hateful. Has foul language",0,0,NONE,NONE,,,NONE,NONE,none,,0,0,True
870671957628522496,0,1,INCITE VIOLENCE,GROUP:GENDER,get raped;white men;,INCITE VIOLENCE;GROUP:RACE;,INCITE VIOLENCE,GROUP:RACE,Individual,White man rapes a Girl,1,0,NONE,TARGETED INDIVIDUAL,white men;,TARGETED INDIVIDUAL;,INCITE VIOLENCE,NONE,White men,,1,1,DEROGATORY LANGUAGE,GROUP:OTHER,raped;,DEROGATORY LANGUAGE;,INCITE VIOLENCE,GROUP:OTHER,other,this tweet is hateful as it is in derogatory language,1,1,True
882753709045932035,0,0,NONE,NONE,,,NONE,NONE,none,,1,1,DEROGATORY LANGUAGE,GROUP:OTHER,blonde babe;sweet pussy pumped by a big dick;,GROUP:OTHER;DEROGATORY LANGUAGE;,DEROGATORY LANGUAGE,GROUP:OTHER,blonde babe,nasty talk about women,0,1,NONE,GROUP:BODY,pussy;dick;,GROUP:BODY;GROUP:BODY;,DEROGATORY LANGUAGE,GROUP:BODY,women,,0,1,False
966396821408010240,0,0,NONE,NONE,,,NONE,NONE,none,,0,1,DEROGATORY LANGUAGE,TARGETED INDIVIDUAL,THOMAS AND NEWT HELD HANDS;,DEROGATORY LANGUAGE;,DEROGATORY LANGUAGE,GROUP:SEXUAL_ORIENTATION,Individual,,0,0,NONE,NONE,,,NONE,NONE,none,,0,0,True
903237603444629504,1,1,NONE,TARGETED INDIVIDUAL,Sexy blonde bitch plays with a big dildo;,GROUP:SEXUAL_ORIENTATION;,DEROGATORY LANGUAGE,GROUP:SEXUAL_ORIENTATION,Individual,,0,0,NONE,TARGETED INDIVIDUAL,blonde bitch;,TARGETED INDIVIDUAL;,NONE,NONE,Blonde bitch,,0,1,NONE,GROUP:GENDER,bitch;,GROUP:GENDER;,DEROGATORY LANGUAGE,GROUP:GENDER,women,,0,1,False
980894324098387969,0,0,NONE,NONE,,,NONE,NONE,none,,0,0,NONE,NONE,,,NONE,NONE,NONE,,0,0,NONE,NONE,,,NONE,NONE,NONE,"Struggling in school, no hate here.",0,0,True
960962383354236930,0,0,NONE,NONE,,,NONE,NONE,NONE,"nothing hateful, normal tweet. Just a random commentary ",0,0,NONE,NONE,,,NONE,NONE,none,,1,1,NONE,GROUP:OTHER,aggressive;,GROUP:OTHER;,INCITE VIOLENCE,GROUP:OTHER,aggressive,,0,0,True
960953860503285760,1,1,NONE,GROUP:GENDER,bitches;,GROUP:GENDER;,DEROGATORY LANGUAGE,GROUP:GENDER,women,calling women bitches,0,0,NONE,NONE,,,NONE,NONE,NONE,no hate. no targeted group,0,1,DEROGATORY LANGUAGE,TARGETED INDIVIDUAL,woman;bitches;,TARGETED INDIVIDUAL;DEROGATORY LANGUAGE;,DEROGATORY LANGUAGE,NONE,Woman,,0,1,False
862187711133876225,0,0,DEROGATORY LANGUAGE,NONE,#adult #pussy #camgirl #blonde #sexy #supergirl painful sex experiments hentai watch;,DEROGATORY LANGUAGE;,DEROGATORY LANGUAGE,NONE,NONE,Tweet seems something from a porn search or porn profile.,1,1,DEROGATORY LANGUAGE,GROUP:OTHER,#adult #pussy #camgirl #blonde #sexy #supergirl painful sex experiments hentai watch;,DEROGATORY LANGUAGE;,DEROGATORY LANGUAGE,GROUP:OTHER,other,this tweet is hateful as it is in derogatory language,0,0,NONE,NONE,,,NONE,NONE,NONE,This tweet doesn't configure hate speech. There is no implicit or explicit hate or targets.,0,0,True
984146579060903937,0,0,NONE,NONE,,,NONE,NONE,none,,0,0,NONE,NONE,,,NONE,NONE,none,nothing hateful,0,0,NONE,NONE,,,NONE,NONE,NONE,This tweet does not configure hate speech.,0,0,True
980842033739833344,0,0,DEROGATORY LANGUAGE,NONE,"2 rounds of intense dick sucking, ass fucking, ass to mouth, creampies and;",DEROGATORY LANGUAGE;,NONE,NONE,none,"Although there is some profanity, this is because the tweet is a porn ad. It isn't hateful towards anyone.",1,1,DEROGATORY LANGUAGE,GROUP:SEXUAL_ORIENTATION,"dick sucking;ass fucking, ass to mouth, creampies;",DEROGATORY LANGUAGE;GROUP:SEXUAL_ORIENTATION;,DEROGATORY LANGUAGE,GROUP:SEXUAL_ORIENTATION,Group,Describe sex procedures,1,1,DEROGATORY LANGUAGE,TARGETED INDIVIDUAL,"Daniel Barefucked Tanner;dick sucking, ass fucking, ass to mouth, creampies;",TARGETED INDIVIDUAL;DEROGATORY LANGUAGE;,DEROGATORY LANGUAGE,NONE,Daniel Tanner,strong and derogatory language towards the person,1,1,True
973642158573084672,0,0,NONE,NONE,,,NONE,NONE,NONE,"normal tweet, nothing explicit or implicit hateful. Has swear word",0,0,NONE,NONE,,,NONE,NONE,NONE,The tweet has no derogatory reference to anybody nor incites violence.,0,0,NONE,NONE,,,NONE,NONE,NONE,"not hateful, no group targeted",0,0,True
1023245818038497281,0,0,NONE,NONE,,,NONE,NONE,none,,0,0,NONE,NONE,,,NONE,NONE,none,,0,0,NONE,NONE,,,NONE,NONE,none,No derogatory language nor slurs were used towards anyone or any group.,0,0,True
1035964164118736896,0,0,NONE,NONE,,,NONE,NONE,none,,0,0,NONE,NONE,,,NONE,NONE,NONE,"normal tweet, nothing explicit or implicit hateful.",0,0,NONE,NONE,,,NONE,NONE,none,No derogatory language nor slurs were used towards anyone or any group.,0,0,True
1008428747077357568,0,0,NONE,TARGETED INDIVIDUAL,jisung;,TARGETED INDIVIDUAL;,NONE,NONE,none,,0,0,NONE,NONE,,,NONE,NONE,none,,0,0,NONE,NONE,,,NONE,NONE,none,No derogatory language nor slurs were used towards anyone or any group.,0,0,True
994638861211963392,0,0,NONE,NONE,,,NONE,NONE,NONE,"Normal tweet, nothing explicit or implicit hateful",0,0,NONE,NONE,,,NONE,NONE,,,0,0,NONE,NONE,,,NONE,NONE,none,,0,0,True
979144967993155584,1,1,DEROGATORY LANGUAGE,GROUP:OTHER,erotic #mature Katie Gold pussy fucked  #bigtit #blonde #hd2;,DEROGATORY LANGUAGE;,DEROGATORY LANGUAGE,GROUP:OTHER,other,this tweet is hateful as it is in derogatory language,0,0,DEROGATORY LANGUAGE,NONE,See erotic #mature Katie Gold pussy fucked;,DEROGATORY LANGUAGE;,NONE,NONE,none,"Regardless of the profanity, the tweet is just a porn ad. There user is not being hateful towards anyone.",0,1,NONE,GROUP:BODY,pussy;,GROUP:BODY;,DEROGATORY LANGUAGE,GROUP:BODY,women,,0,1,False
987405704234455040,0,0,NONE,NONE,,,NONE,NONE,none,,0,0,NONE,NONE,,,NONE,NONE,none,no hate,0,0,NONE,NONE,,,NONE,NONE,NONE,"Normal tweet, nothing explicit or implicit hateful",0,0,True
994653033731706883,0,0,NONE,NONE,,,NONE,NONE,none,,0,0,NONE,NONE,,,NONE,NONE,NONE,just porn,0,0,NONE,NONE,,,NONE,NONE,NONE,"Nothing hateful, tweet is a song lyric",0,0,True
964934313723785216,0,0,NONE,TARGETED INDIVIDUAL,Jamie Dornan;,TARGETED INDIVIDUAL;,NONE,NONE,none,,0,0,NONE,NONE,,,NONE,NONE,NONE,The content of the tweet is satirical and there is no derogatory or violent references in it.,1,1,DEROGATORY LANGUAGE,TARGETED INDIVIDUAL,amie Dornan;Pregnant;,TARGETED INDIVIDUAL;DEROGATORY LANGUAGE;,DEROGATORY LANGUAGE,GROUP:GENDER,individual,,0,0,True
882755990747103232,0,0,NONE,NONE,,,NONE,NONE,none,no hate,0,0,NONE,NONE,,,NONE,NONE,none,,0,0,NONE,NONE,,,NONE,NONE,NONE,"not hateful, no group targeted",0,0,True
976130949548212224,1,1,DEROGATORY LANGUAGE,NONE,humourless robotic cunts;,DEROGATORY LANGUAGE;,DEROGATORY LANGUAGE,GROUP:IDEOLOGY,Leftwings,The user used derogatory language to describe a whole group of people that have different political views than his own.,1,1,DEROGATORY LANGUAGE,GROUP:OTHER,humourless robotic cunts.;,DEROGATORY LANGUAGE;,DEROGATORY LANGUAGE,GROUP:OTHER,other,this tweet is hateful as it is in derogatory language,0,0,NONE,NONE,,,NONE,NONE,NONE,"Normal tweet, nothing explicit or implicit hateful.",1,1,True
994659589428793344,0,0,NONE,NONE,,,NONE,NONE,none,not hateful,0,0,NONE,TARGETED INDIVIDUAL,Chibi;,TARGETED INDIVIDUAL;,NONE,NONE,none,,0,0,NONE,TARGETED INDIVIDUAL,Chibi ;,TARGETED INDIVIDUAL;,NONE,NONE,NONE,,0,0,True
1035963333638123520,1,1,DEROGATORY LANGUAGE,TARGETED INDIVIDUAL,the guy on the right; screaming like a fucking banshee;,TARGETED INDIVIDUAL;DEROGATORY LANGUAGE;,DEROGATORY LANGUAGE,GROUP:OTHER,guy on the right,derogatory,0,0,NONE,NONE,,,NONE,NONE,NONE,"Normal tweet, nothing explicit or implicit hateful. Has swear language",0,1,DEROGATORY LANGUAGE,TARGETED INDIVIDUAL,guy;fucking;,TARGETED INDIVIDUAL;DEROGATORY LANGUAGE;,DEROGATORY LANGUAGE,NONE,Guy,,0,1,False
965674629351247872,0,0,NONE,NONE,,,NONE,NONE,none,,0,0,NONE,NONE,,,NONE,NONE,none,no hate,0,0,NONE,NONE,,,NONE,NONE,none,,0,0,True
1008434229036900352,0,0,NONE,NONE,,,NONE,NONE,NONE,"no hate, no group targeted",1,1,DEROGATORY LANGUAGE,GROUP:SEXUAL_ORIENTATION,discreetly teasing;fuck;,INCITE VIOLENCE;DEROGATORY LANGUAGE;,INCITE VIOLENCE,GROUP:SEXUAL_ORIENTATION,Individual,Discreetly teasing girl,0,0,NONE,NONE,,,NONE,NONE,none,,0,0,True
